ID,technology,source,source_type,year,type,country,capacity_definition,comment,capacity,energy_source_level_0,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology_level
3699,Solar,EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,18,0,0,1,1,0
3700,"Differently categorized wind",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,1137,0,0,0,0,1
3701,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,308,0,0,1,0,0
3702,"Renewable energy sources",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,10339,0,1,0,0,0
3703,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,82050,0,0,1,1,1
3704,Total,EUROSTAT,"Statistical Office",1995,"Installed capacity in MW",DE,Unknown,,116226,1,0,0,0,0
3705,"Biomass and biogas",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,229,0,0,0,1,1
3706,"Concentrated solar power",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
3707,"Fossil fuels",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,81192,0,1,0,0,0
3708,Geothermal,EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3709,Hydro,EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,8940,0,0,1,1,0
3710,Marine,EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
3711,"Non-renewable waste",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,1097,0,0,1,1,1
3712,Nuclear,EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,22910,0,1,1,1,1
3713,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,79,0,0,0,1,1
3714,Photovoltaics,EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,28,0,0,0,0,1
3715,"Pumped storage",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,4635,0,0,0,0,1
3716,Wind,EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,1564,0,0,1,1,0
3717,"Differently categorized solar",EUROSTAT,"Statistical Office",1996,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
